timestamp,analysis_type,dc_gain_db,gbw_hz,phase_margin_deg,gain_margin_db,dominant_pole_hz,second_pole_hz,converged,sim_time_seconds,param_M1_W,param_M1_L,param_M3_W,param_M3_L,param_M5_W,param_M5_L,param_M6_W,param_M6_L,param_M7_W,param_M7_L,param_M8_W,param_M8_L,param_Cc,param_Rc,param_VBIAS
2026-07-08T22:18:20.420250,ac,61.87214,15628473.037002655,72.89134910894667,,13208.364775224545,,True,0.03623237300053006,2e-05,1e-06,4e-06,1e-06,8e-06,1e-06,4e-05,5e-07,4e-05,1e-06,4e-06,1e-06,3e-12,700.0,0.57
2026-07-08T22:52:31.544051,ac,61.87214,15628473.037002655,72.89134910894667,,13208.364775224545,,True,0.03207643200039456,2e-05,1e-06,4e-06,1e-06,8e-06,1e-06,4e-05,5e-07,4e-05,1e-06,4e-06,1e-06,3e-12,700.0,0.57
2026-07-08T22:55:19.353199,ac,61.87214,15628473.037002655,72.89134910894667,,13208.364775224545,,True,0.03538615400066192,2e-05,1e-06,4e-06,1e-06,8e-06,1e-06,4e-05,5e-07,4e-05,1e-06,4e-06,1e-06,3e-12,700.0,0.57
2026-07-08T22:56:33.555056,ac,61.87214,15628473.037002655,72.89134910894667,,13208.364775224545,,True,0.03442465400075889,2e-05,1e-06,4e-06,1e-06,8e-06,1e-06,4e-05,5e-07,4e-05,1e-06,4e-06,1e-06,3e-12,700.0,0.57
2026-07-08T22:59:59.580992,ac,61.87214,15628473.037002655,72.89134910894667,,13208.364775224545,,True,0.03769196600023861,2e-05,1e-06,4e-06,1e-06,8e-06,1e-06,4e-05,5e-07,4e-05,1e-06,4e-06,1e-06,3e-12,700.0,0.57
2026-07-08T23:01:28.097226,ac,61.87214,15628473.037002655,72.89134910894667,,13208.364775224545,,True,0.040757561999271275,2e-05,1e-06,4e-06,1e-06,8e-06,1e-06,4e-05,5e-07,4e-05,1e-06,4e-06,1e-06,3e-12,700.0,0.57
2026-07-08T23:13:44.315679,ac,61.87214,15628473.037002655,72.89134910894667,,13208.364775224545,,True,0.12128717700034031,2e-05,1e-06,4e-06,1e-06,8e-06,1e-06,4e-05,5e-07,4e-05,1e-06,4e-06,1e-06,3e-12,700.0,0.57
2026-07-09T22:55:00.753116,ac,61.87214,15628473.037002655,72.89134910894667,,13208.364775224545,,True,0.1343292650000194,2e-05,1e-06,4e-06,1e-06,8e-06,1e-06,4e-05,5e-07,4e-05,1e-06,4e-06,1e-06,3e-12,700.0,0.57
2026-07-09T23:10:51.470470,ac,61.87214,15628473.037002655,72.89134910894667,,13208.364775224545,,True,0.035079465000080745,2e-05,1e-06,4e-06,1e-06,8e-06,1e-06,4e-05,5e-07,4e-05,1e-06,4e-06,1e-06,3e-12,700.0,0.57
2026-07-09T23:20:01.831422,ac,61.87214,15628473.037002655,72.89134910894667,,13208.364775224545,,True,0.11456286500015267,2e-05,1e-06,4e-06,1e-06,8e-06,1e-06,4e-05,5e-07,4e-05,1e-06,4e-06,1e-06,3e-12,700.0,0.57
2026-07-09T23:23:11.498653,ac,61.87214,15628473.037002655,72.89134910894667,,13208.364775224545,,True,0.10754291800003557,2e-05,1e-06,4e-06,1e-06,8e-06,1e-06,4e-05,5e-07,4e-05,1e-06,4e-06,1e-06,3e-12,700.0,0.57
